policy,expert,expert_call_rate,event,total_event_n,defer_event_n,non_defer_event_n,capture_rate,expected_capture_random,lift_vs_random,defer_event_rate,non_defer_event_rate,rate_ratio_defer_vs_non
low_margin,dense_average,0.5,severe_or_pdr_true_ge3,147,120,27,0.8163265306122449,0.5,1.6326530612244898,0.21818181818181817,0.04909090909090909,4.444444444444445
low_margin,dense_average,0.5,pdr_true_eq4,89,73,16,0.8202247191011236,0.5,1.6404494382022472,0.13272727272727272,0.02909090909090909,4.5625
low_margin,dense_average,0.5,green_referable_miss_true_ge2_pred_le1,56,47,9,0.8392857142857143,0.5,1.6785714285714286,0.08545454545454545,0.016363636363636365,5.222222222222221
low_margin,dense_average,0.5,green_vtdr_miss_true_ge3_pred_le2,45,44,1,0.9777777777777777,0.5,1.9555555555555555,0.08,0.0018181818181818182,44.0
low_margin,dense_average,0.5,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.5,1.9285714285714286,0.04909090909090909,0.0018181818181818182,27.0
low_margin,dense_average,0.5,green_two_step_undergrading,34,33,1,0.9705882352941176,0.5,1.9411764705882353,0.06,0.0018181818181818182,33.0
high_entropy,convnext,0.1,green_error,243,67,176,0.2757201646090535,0.1,2.757201646090535,0.6090909090909091,0.17777777777777778,3.4261363636363638
high_entropy,convnext,0.1,referable_dr_true_ge2,447,86,361,0.19239373601789708,0.1,1.9239373601789707,0.7818181818181819,0.36464646464646466,2.14404432132964
high_entropy,convnext,0.1,severe_or_pdr_true_ge3,147,25,122,0.17006802721088435,0.1,1.7006802721088434,0.22727272727272727,0.12323232323232323,1.8442622950819672
high_entropy,convnext,0.1,pdr_true_eq4,89,19,70,0.21348314606741572,0.1,2.134831460674157,0.17272727272727273,0.0707070707070707,2.442857142857143
high_entropy,convnext,0.1,green_referable_miss_true_ge2_pred_le1,56,16,40,0.2857142857142857,0.1,2.8571428571428568,0.14545454545454545,0.04040404040404041,3.5999999999999996
high_entropy,convnext,0.1,green_vtdr_miss_true_ge3_pred_le2,45,18,27,0.4,0.1,4.0,0.16363636363636364,0.02727272727272727,6.0
high_entropy,convnext,0.1,green_large_undergrading_true_ge4_pred_le2,28,12,16,0.42857142857142855,0.1,4.285714285714286,0.10909090909090909,0.01616161616161616,6.75
high_entropy,convnext,0.1,green_two_step_undergrading,34,16,18,0.47058823529411764,0.1,4.705882352941176,0.14545454545454545,0.01818181818181818,8.0
high_entropy,convnext,0.2,green_error,243,112,131,0.4609053497942387,0.2,2.304526748971193,0.509090909090909,0.14886363636363636,3.4198473282442743
high_entropy,convnext,0.2,referable_dr_true_ge2,447,171,276,0.3825503355704698,0.2,1.912751677852349,0.7772727272727272,0.31363636363636366,2.4782608695652173
high_entropy,convnext,0.2,severe_or_pdr_true_ge3,147,46,101,0.3129251700680272,0.2,1.564625850340136,0.20909090909090908,0.11477272727272728,1.8217821782178216
high_entropy,convnext,0.2,pdr_true_eq4,89,33,56,0.3707865168539326,0.2,1.853932584269663,0.15,0.06363636363636363,2.357142857142857
high_entropy,convnext,0.2,green_referable_miss_true_ge2_pred_le1,56,27,29,0.48214285714285715,0.2,2.4107142857142856,0.12272727272727273,0.03295454545454545,3.724137931034483
high_entropy,convnext,0.2,green_vtdr_miss_true_ge3_pred_le2,45,25,20,0.5555555555555556,0.2,2.7777777777777777,0.11363636363636363,0.022727272727272728,5.0
high_entropy,convnext,0.2,green_large_undergrading_true_ge4_pred_le2,28,16,12,0.5714285714285714,0.2,2.8571428571428568,0.07272727272727272,0.013636363636363636,5.333333333333333
high_entropy,convnext,0.2,green_two_step_undergrading,34,21,13,0.6176470588235294,0.2,3.088235294117647,0.09545454545454546,0.014772727272727272,6.461538461538462
high_entropy,convnext,0.3,green_error,243,165,78,0.6790123456790124,0.3,2.263374485596708,0.5,0.1012987012987013,4.935897435897435
high_entropy,convnext,0.3,referable_dr_true_ge2,447,257,190,0.5749440715883669,0.3,1.9164802386278899,0.7787878787878788,0.24675324675324675,3.1561403508771932
high_entropy,convnext,0.3,severe_or_pdr_true_ge3,147,70,77,0.47619047619047616,0.3,1.5873015873015872,0.21212121212121213,0.1,2.121212121212121
high_entropy,convnext,0.3,pdr_true_eq4,89,45,44,0.5056179775280899,0.3,1.6853932584269664,0.13636363636363635,0.05714285714285714,2.3863636363636362
high_entropy,convnext,0.3,green_referable_miss_true_ge2_pred_le1,56,37,19,0.6607142857142857,0.3,2.2023809523809526,0.11212121212121212,0.024675324675324677,4.5438596491228065
high_entropy,convnext,0.3,green_vtdr_miss_true_ge3_pred_le2,45,32,13,0.7111111111111111,0.3,2.3703703703703707,0.09696969696969697,0.016883116883116882,5.743589743589744
high_entropy,convnext,0.3,green_large_undergrading_true_ge4_pred_le2,28,21,7,0.75,0.3,2.5,0.06363636363636363,0.00909090909090909,7.0
high_entropy,convnext,0.3,green_two_step_undergrading,34,26,8,0.7647058823529411,0.3,2.549019607843137,0.07878787878787878,0.01038961038961039,7.583333333333333
high_entropy,convnext,0.4,green_error,243,199,44,0.8189300411522634,0.4,2.0473251028806585,0.45227272727272727,0.06666666666666667,6.784090909090909
high_entropy,convnext,0.4,referable_dr_true_ge2,447,338,109,0.756152125279642,0.4,1.890380313199105,0.7681818181818182,0.16515151515151516,4.651376146788991
high_entropy,convnext,0.4,severe_or_pdr_true_ge3,147,98,49,0.6666666666666666,0.4,1.6666666666666665,0.22272727272727272,0.07424242424242425,2.9999999999999996
high_entropy,convnext,0.4,pdr_true_eq4,89,62,27,0.6966292134831461,0.4,1.7415730337078652,0.1409090909090909,0.04090909090909091,3.444444444444444
high_entropy,convnext,0.4,green_referable_miss_true_ge2_pred_le1,56,43,13,0.7678571428571429,0.4,1.9196428571428572,0.09772727272727273,0.019696969696969695,4.961538461538463
high_entropy,convnext,0.4,green_vtdr_miss_true_ge3_pred_le2,45,40,5,0.8888888888888888,0.4,2.222222222222222,0.09090909090909091,0.007575757575757576,12.0
high_entropy,convnext,0.4,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.4,2.4107142857142856,0.06136363636363636,0.0015151515151515152,40.5
high_entropy,convnext,0.4,green_two_step_undergrading,34,32,2,0.9411764705882353,0.4,2.352941176470588,0.07272727272727272,0.0030303030303030303,24.0
high_entropy,convnext,0.5,green_error,243,222,21,0.9135802469135802,0.5,1.8271604938271604,0.4036363636363636,0.038181818181818185,10.571428571428571
high_entropy,convnext,0.5,referable_dr_true_ge2,447,393,54,0.8791946308724832,0.5,1.7583892617449663,0.7145454545454546,0.09818181818181818,7.277777777777779
high_entropy,convnext,0.5,severe_or_pdr_true_ge3,147,120,27,0.8163265306122449,0.5,1.6326530612244898,0.21818181818181817,0.04909090909090909,4.444444444444445
high_entropy,convnext,0.5,pdr_true_eq4,89,71,18,0.797752808988764,0.5,1.595505617977528,0.1290909090909091,0.03272727272727273,3.944444444444444
high_entropy,convnext,0.5,green_referable_miss_true_ge2_pred_le1,56,47,9,0.8392857142857143,0.5,1.6785714285714286,0.08545454545454545,0.016363636363636365,5.222222222222221
high_entropy,convnext,0.5,green_vtdr_miss_true_ge3_pred_le2,45,44,1,0.9777777777777777,0.5,1.9555555555555555,0.08,0.0018181818181818182,44.0
high_entropy,convnext,0.5,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.5,1.9285714285714286,0.04909090909090909,0.0018181818181818182,27.0
high_entropy,convnext,0.5,green_two_step_undergrading,34,33,1,0.9705882352941176,0.5,1.9411764705882353,0.06,0.0018181818181818182,33.0
high_entropy,retfound_mae,0.1,green_error,243,67,176,0.2757201646090535,0.1,2.757201646090535,0.6090909090909091,0.17777777777777778,3.4261363636363638
high_entropy,retfound_mae,0.1,referable_dr_true_ge2,447,86,361,0.19239373601789708,0.1,1.9239373601789707,0.7818181818181819,0.36464646464646466,2.14404432132964
high_entropy,retfound_mae,0.1,severe_or_pdr_true_ge3,147,25,122,0.17006802721088435,0.1,1.7006802721088434,0.22727272727272727,0.12323232323232323,1.8442622950819672
high_entropy,retfound_mae,0.1,pdr_true_eq4,89,19,70,0.21348314606741572,0.1,2.134831460674157,0.17272727272727273,0.0707070707070707,2.442857142857143
high_entropy,retfound_mae,0.1,green_referable_miss_true_ge2_pred_le1,56,16,40,0.2857142857142857,0.1,2.8571428571428568,0.14545454545454545,0.04040404040404041,3.5999999999999996
high_entropy,retfound_mae,0.1,green_vtdr_miss_true_ge3_pred_le2,45,18,27,0.4,0.1,4.0,0.16363636363636364,0.02727272727272727,6.0
high_entropy,retfound_mae,0.1,green_large_undergrading_true_ge4_pred_le2,28,12,16,0.42857142857142855,0.1,4.285714285714286,0.10909090909090909,0.01616161616161616,6.75
high_entropy,retfound_mae,0.1,green_two_step_undergrading,34,16,18,0.47058823529411764,0.1,4.705882352941176,0.14545454545454545,0.01818181818181818,8.0
high_entropy,retfound_mae,0.2,green_error,243,112,131,0.4609053497942387,0.2,2.304526748971193,0.509090909090909,0.14886363636363636,3.4198473282442743
high_entropy,retfound_mae,0.2,referable_dr_true_ge2,447,171,276,0.3825503355704698,0.2,1.912751677852349,0.7772727272727272,0.31363636363636366,2.4782608695652173
high_entropy,retfound_mae,0.2,severe_or_pdr_true_ge3,147,46,101,0.3129251700680272,0.2,1.564625850340136,0.20909090909090908,0.11477272727272728,1.8217821782178216
high_entropy,retfound_mae,0.2,pdr_true_eq4,89,33,56,0.3707865168539326,0.2,1.853932584269663,0.15,0.06363636363636363,2.357142857142857
high_entropy,retfound_mae,0.2,green_referable_miss_true_ge2_pred_le1,56,27,29,0.48214285714285715,0.2,2.4107142857142856,0.12272727272727273,0.03295454545454545,3.724137931034483
high_entropy,retfound_mae,0.2,green_vtdr_miss_true_ge3_pred_le2,45,25,20,0.5555555555555556,0.2,2.7777777777777777,0.11363636363636363,0.022727272727272728,5.0
high_entropy,retfound_mae,0.2,green_large_undergrading_true_ge4_pred_le2,28,16,12,0.5714285714285714,0.2,2.8571428571428568,0.07272727272727272,0.013636363636363636,5.333333333333333
high_entropy,retfound_mae,0.2,green_two_step_undergrading,34,21,13,0.6176470588235294,0.2,3.088235294117647,0.09545454545454546,0.014772727272727272,6.461538461538462
high_entropy,retfound_mae,0.3,green_error,243,165,78,0.6790123456790124,0.3,2.263374485596708,0.5,0.1012987012987013,4.935897435897435
high_entropy,retfound_mae,0.3,referable_dr_true_ge2,447,257,190,0.5749440715883669,0.3,1.9164802386278899,0.7787878787878788,0.24675324675324675,3.1561403508771932
high_entropy,retfound_mae,0.3,severe_or_pdr_true_ge3,147,70,77,0.47619047619047616,0.3,1.5873015873015872,0.21212121212121213,0.1,2.121212121212121
high_entropy,retfound_mae,0.3,pdr_true_eq4,89,45,44,0.5056179775280899,0.3,1.6853932584269664,0.13636363636363635,0.05714285714285714,2.3863636363636362
high_entropy,retfound_mae,0.3,green_referable_miss_true_ge2_pred_le1,56,37,19,0.6607142857142857,0.3,2.2023809523809526,0.11212121212121212,0.024675324675324677,4.5438596491228065
high_entropy,retfound_mae,0.3,green_vtdr_miss_true_ge3_pred_le2,45,32,13,0.7111111111111111,0.3,2.3703703703703707,0.09696969696969697,0.016883116883116882,5.743589743589744
high_entropy,retfound_mae,0.3,green_large_undergrading_true_ge4_pred_le2,28,21,7,0.75,0.3,2.5,0.06363636363636363,0.00909090909090909,7.0
high_entropy,retfound_mae,0.3,green_two_step_undergrading,34,26,8,0.7647058823529411,0.3,2.549019607843137,0.07878787878787878,0.01038961038961039,7.583333333333333
high_entropy,retfound_mae,0.4,green_error,243,199,44,0.8189300411522634,0.4,2.0473251028806585,0.45227272727272727,0.06666666666666667,6.784090909090909
high_entropy,retfound_mae,0.4,referable_dr_true_ge2,447,338,109,0.756152125279642,0.4,1.890380313199105,0.7681818181818182,0.16515151515151516,4.651376146788991
high_entropy,retfound_mae,0.4,severe_or_pdr_true_ge3,147,98,49,0.6666666666666666,0.4,1.6666666666666665,0.22272727272727272,0.07424242424242425,2.9999999999999996
high_entropy,retfound_mae,0.4,pdr_true_eq4,89,62,27,0.6966292134831461,0.4,1.7415730337078652,0.1409090909090909,0.04090909090909091,3.444444444444444
high_entropy,retfound_mae,0.4,green_referable_miss_true_ge2_pred_le1,56,43,13,0.7678571428571429,0.4,1.9196428571428572,0.09772727272727273,0.019696969696969695,4.961538461538463
high_entropy,retfound_mae,0.4,green_vtdr_miss_true_ge3_pred_le2,45,40,5,0.8888888888888888,0.4,2.222222222222222,0.09090909090909091,0.007575757575757576,12.0
high_entropy,retfound_mae,0.4,green_large_undergrading_true_ge4_pred_le2,28,27,1,0.9642857142857143,0.4,2.4107142857142856,0.06136363636363636,0.0015151515151515152,40.5
high_entropy,retfound_mae,0.4,green_two_step_undergrading,34,32,2,0.9411764705882353,0.4,2.352941176470588,0.07272727272727272,0.0030303030303030303,24.0
high_entropy,retfound_mae,0.5,green_error,243,222,21,0.9135802469135802,0.5,1.8271604938271604,0.4036363636363636,0.038181818181818185,10.571428571428571
