seed,target,target_role,ranking_method,review_budget,n_backbones,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift,mean_backbone_recall,mean_backbone_lift
44,vision_threatening_dr_miss,primary,learned_logistic,0.2,6,6600,1320,391,280,111,0.7161125319693095,0.21212121212121213,3.580562659846547,0.7137990454731278,3.568995227365639
44,vision_threatening_dr_miss,primary,margin_only,0.2,6,6600,1320,391,183,208,0.4680306905370844,0.13863636363636364,2.340153452685422,0.4677615271886684,2.338807635943342
44,vision_threatening_dr_miss,primary,ophagent_combined,0.2,6,6600,1320,391,241,150,0.6163682864450127,0.18257575757575759,3.081841432225064,0.6141920000651925,3.0709600003259623
44,vision_threatening_dr_miss,primary,top2_more_severe_only,0.2,6,6600,1320,391,259,132,0.6624040920716112,0.1962121212121212,3.312020460358056,0.6574194838655351,3.2870974193276754
44,dangerous_undergrading,secondary,expected_gap_only,0.2,6,6600,1320,430,256,174,0.5953488372093023,0.19393939393939394,2.9767441860465116,0.5935300224032618,2.9676501120163086
44,dangerous_undergrading,secondary,gated_severe_prob_mass_only,0.2,6,6600,1320,430,304,126,0.7069767441860465,0.23030303030303031,3.5348837209302326,0.7046359869622023,3.5231799348110115
44,dangerous_undergrading,secondary,learned_logistic,0.2,6,6600,1320,430,288,142,0.6697674418604651,0.21818181818181817,3.3488372093023253,0.667037384847471,3.3351869242373557
44,dangerous_undergrading,secondary,margin_only,0.2,6,6600,1320,430,194,236,0.4511627906976744,0.14696969696969697,2.255813953488372,0.4509802731974472,2.254901365987236
44,dangerous_undergrading,secondary,ophagent_combined,0.2,6,6600,1320,430,254,176,0.5906976744186047,0.19242424242424241,2.953488372093023,0.5873599493544973,2.9367997467724867
44,dangerous_undergrading,secondary,top2_more_severe_only,0.2,6,6600,1320,430,282,148,0.6558139534883721,0.21363636363636362,3.27906976744186,0.6514355476418175,3.2571777382090876
45,large_undergrading,primary,expected_gap_only,0.2,6,6600,1320,263,177,86,0.6730038022813688,0.1340909090909091,3.365019011406844,0.6611550280750508,3.3057751403752538
45,large_undergrading,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,263,169,94,0.6425855513307985,0.12803030303030302,3.212927756653992,0.6403656980344444,3.2018284901722223
45,large_undergrading,primary,learned_logistic,0.2,6,6600,1320,263,177,86,0.6730038022813688,0.1340909090909091,3.365019011406844,0.6623240019269514,3.311620009634757
45,large_undergrading,primary,margin_only,0.2,6,6600,1320,263,122,141,0.46387832699619774,0.09242424242424242,2.3193916349809887,0.4609065498231692,2.3045327491158463
45,large_undergrading,primary,ophagent_combined,0.2,6,6600,1320,263,156,107,0.5931558935361216,0.11818181818181818,2.9657794676806084,0.5870646230203803,2.9353231151019012
45,large_undergrading,primary,top2_more_severe_only,0.2,6,6600,1320,263,173,90,0.6577946768060836,0.13106060606060607,3.2889733840304185,0.6527117289000443,3.2635586445002214
45,vision_threatening_dr_miss,primary,expected_gap_only,0.2,6,6600,1320,391,226,165,0.578005115089514,0.1712121212121212,2.89002557544757,0.5738458890016175,2.869229445008088
45,vision_threatening_dr_miss,primary,gated_severe_prob_mass_only,0.2,6,6600,1320,391,298,93,0.7621483375959079,0.22575757575757577,3.8107416879795397,0.7593936961567662,3.7969684807838315
45,vision_threatening_dr_miss,primary,learned_logistic,0.2,6,6600,1320,391,265,126,0.6777493606138107,0.20075757575757575,3.3887468030690537,0.6772117914220251,3.386058957110125
45,vision_threatening_dr_miss,primary,margin_only,0.2,6,6600,1320,391,183,208,0.4680306905370844,0.13863636363636364,2.340153452685422,0.4677615271886684,2.338807635943342
