dataset,backbone,target,method,budget,n,top_k,total_event,captured_event,captured_event_ci95_low,captured_event_ci95_high,event_recall,event_recall_ci95_low,event_recall_ci95_high,residual_event_count,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high
IDRiD_data,convnext_tiny,vtdr_miss,entropy_only,0.05,103,6,23,2.0,,,0.08695652173913043,,,21.0,,,0.21649484536082475,,,1.4927536231884055,,
IDRiD_data,convnext_tiny,vtdr_miss,expected_gap_only,0.05,103,6,23,4.0,,,0.17391304347826086,,,19.0,,,0.1958762886597938,,,2.985507246376811,,
IDRiD_data,convnext_tiny,vtdr_miss,gated_severe_prob_mass_only,0.05,103,6,23,6.0,,,0.2608695652173913,,,17.0,,,0.17525773195876287,,,4.478260869565217,,
IDRiD_data,convnext_tiny,vtdr_miss,low_confidence_only,0.05,103,6,23,1.0,,,0.043478260869565216,,,22.0,,,0.2268041237113402,,,0.7463768115942028,,
IDRiD_data,convnext_tiny,vtdr_miss,low_margin_only,0.05,103,6,23,1.0,,,0.043478260869565216,,,22.0,,,0.2268041237113402,,,0.7463768115942028,,
IDRiD_data,convnext_tiny,vtdr_miss,pred_grade_ascending,0.05,103,6,23,0.0,,,0.0,,,23.0,,,0.23711340206185566,,,0.0,,
IDRiD_data,convnext_tiny,vtdr_miss,random_gate_only,0.05,103,6,23,1.53,0.0,4.0,0.06652173913043477,0.0,0.17391304347826086,21.47,19.0,23.0,0.22134020618556707,0.1958762886597938,0.23711340206185566,1.1419565217391305,0.0,2.985507246376811
IDRiD_data,convnext_tiny,vtdr_miss,entropy_only,0.1,103,11,23,5.0,,,0.21739130434782608,,,18.0,,,0.1956521739130435,,,2.035573122529644,,
IDRiD_data,convnext_tiny,vtdr_miss,expected_gap_only,0.1,103,11,23,4.0,,,0.17391304347826086,,,19.0,,,0.20652173913043478,,,1.6284584980237153,,
IDRiD_data,convnext_tiny,vtdr_miss,gated_severe_prob_mass_only,0.1,103,11,23,8.0,,,0.34782608695652173,,,15.0,,,0.16304347826086957,,,3.2569169960474307,,
IDRiD_data,convnext_tiny,vtdr_miss,low_confidence_only,0.1,103,11,23,4.0,,,0.17391304347826086,,,19.0,,,0.20652173913043478,,,1.6284584980237153,,
IDRiD_data,convnext_tiny,vtdr_miss,low_margin_only,0.1,103,11,23,2.0,,,0.08695652173913043,,,21.0,,,0.22826086956521738,,,0.8142292490118577,,
